"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     , "Avg_SoundSpeed" ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,  "Pressure_Drop" 
          0,           0,           0,      -4.054181751,      -1.530605618,      -13.79804394,       1.407943863,      -20.49743012,      -16.50619913,       347.2257329,     0.00581942353,     0.02856688219,       602.6142937,       206699.7627,       2.389637722,       605498.0471,       9.958488788,       9.774814475,        0.2707276157,          1646369.896,                1.252419856,       602.6637197,       206760.0153,      -4049.762692
          0,           0,           1,      -4.080427577,      -1.553735398,      -3.027723613,       1.381590463,      -5.815747861,       1.892838697,        347.239903,     0.04675450786,      0.2057399516,       600.5566816,       223910.1516,       2.597421362,       605943.8696,       69.45760125,       67.89897558,         16.58680122,         -1.016577512,                 1.42789405,       603.1074552,       227590.3949,      -21241.11909
          0,           0,           2,      -4.165021259,      -1.566946913,       -2.05864382,       1.290662389,      -2.580610239,       2.211283464,        347.238586,     0.08280387649,      0.3609484391,       587.8926326,       226742.0998,       2.694137048,       598170.8852,       120.1188967,       117.9336388,         22.31967375,         -1.005984912,                1.199597978,       595.3708561,       238508.1487,      -23937.70666
          0,           0,           3,      -4.188249828,      -1.498919514,      -1.928501469,       1.294138555,       -1.73935677,       2.454198416,        347.221648,      0.1092635193,      0.5260090022,       575.5350848,       224153.1807,       2.729327248,       593423.3238,       172.0240276,       169.5085402,         19.23971254,         -1.000976918,               0.9624127043,       590.6455179,       249364.7353,      -21158.10025
          0,           0,           4,      -4.309189842,       -1.53651388,      -1.853376977,        1.22446765,       -1.31427377,       2.723888387,       347.1886438,       0.110801097,      0.6777593036,       567.5191298,       216424.7564,       2.674946645,       594508.1813,        217.856883,       215.6042043,         12.97823686,        -0.9951217797,               0.7983982324,       591.7252973,       257144.9786,      -13340.68842
          0,           0,           5,       -4.37399569,       -1.60241951,      -1.777851949,       1.140944306,       -1.09515884,       2.881998663,       347.1324752,     0.08618167301,      0.8026371817,       562.4689281,       205590.8498,       2.559870319,       598426.5107,       254.5236357,       252.8028001,         8.896372015,        -0.9872528048,               0.6872650824,        595.625285,       259407.3072,      -2579.081673
          0,           0,           6,      -4.329004965,      -1.613220006,      -1.712490813,        1.15304955,     -0.9755661546,       2.949940561,       347.0459801,      0.0467726013,      0.8861435524,        559.665791,       196582.4581,       2.454227068,       602416.4023,       278.9223199,       277.3666885,         13.18702342,        -0.9753501201,               0.6154163174,          599.5965,       258577.7294,       6225.038149
          0,           0,           7,      -4.283044226,      -1.596429325,      -1.649358464,       1.195679986,     -0.9214196989,       2.964355386,       346.9441023,    0.005717466616,      0.9003367157,       560.1015941,        194157.177,       2.419795861,       604307.0327,       284.0264777,       282.2728415,          16.1549906,        -0.9515957198,               0.5458204086,       601.4782803,       257119.6069,       8458.528393
          0,           0,           8,      -4.275614885,      -1.557800894,      -1.601444272,       1.200509819,     -0.9248863357,       2.947679616,       346.8451282,    -0.03259471055,      0.8600919008,       563.2148128,       197690.0748,       2.451715635,       604398.6072,       274.1006995,       272.1374732,         13.48735974,        -0.9048946403,               0.4792220095,       601.5694262,       256527.1502,       4865.275534
          0,           0,           9,      -4.253664833,      -1.529538554,      -1.568833392,       1.219294691,     -0.9652579397,        2.91519008,        346.752007,    -0.07190304708,      0.8091694342,       566.5651152,       202635.5132,       2.500242553,       603885.0761,       260.7025145,       258.5352719,         8.365959927,        -0.8275750374,               0.4397057955,       601.0582989,       256422.1157,      -53.48293292
          0,           0,          10,      -4.224556488,      -1.517553984,       -1.53725617,       1.246131669,      -1.011830324,       2.882501122,       346.6645031,     -0.1124562641,      0.7793034971,        568.022484,       205187.9525,       2.526307265,       603070.0873,       252.5552716,       250.2224634,         4.861813154,        -0.7280284486,               0.4449264186,       600.2471251,       255840.6603,      -2568.919661
          0,           0,          11,      -4.221256237,       -1.51327619,      -1.505729778,       1.247124803,      -1.035711042,       2.868477575,        346.582633,     -0.1485484509,      0.7775707444,       567.4446714,       204800.4851,       2.524268461,        602309.181,        252.210864,        249.680516,         4.840601484,        -0.6041229859,               0.4796073324,       599.4897805,       255077.7526,      -2169.504165
          0,           0,          12,      -4.225783659,      -1.509617652,      -1.481912517,       1.242378331,      -1.029667951,       2.877527054,       346.5063779,     -0.1717796787,      0.7941599381,       565.9556924,       202871.8388,       2.506599775,       602043.1921,       257.2305015,       254.4307678,         4.868618827,         -0.448326296,               0.5119066576,       599.2250367,       254731.6378,       -248.427626
          0,           0,          13,      -4.233915713,      -1.502503626,       -1.46696525,       1.234548155,      -1.008393768,       2.895594153,       346.4369233,     -0.1730919757,      0.8130331953,       564.7582286,        201047.153,       2.488633151,       602321.6196,       263.0637891,       259.9277225,         4.698541015,        -0.2250244819,               0.5428064902,       599.5021609,        254889.693,       1558.670007
          0,           0,          14,        -4.2397304,      -1.497460496,      -1.460116254,       1.227719812,     -0.9904018183,       2.907425008,       346.3761166,      -0.145863889,      0.8218345478,       564.4372197,       200339.8077,       2.480896714,        602749.784,       266.0453834,       262.5345471,         5.623950487,         0.2305454039,               0.5886501908,       599.9283211,       255227.2765,       2247.466476
          0,           0,          15,      -4.241274368,       -1.49543739,      -1.453469209,       1.225463544,     -0.9851969202,       2.908057132,       346.3251187,    -0.08988905879,      0.8170246308,        565.025584,       200990.9313,       2.486510121,       603027.5599,       265.1027485,       261.2213563,         6.386792387,          2.131770652,               0.6578504307,       600.2047968,       255529.9875,       1584.905207
          0,           0,          16,      -4.239766265,        -1.4956288,      -1.443825201,       1.228164252,     -0.9932376368,       2.899913341,       346.2829985,    -0.01266030164,      0.8034400874,       566.1339712,       202485.4769,       2.500577923,       603111.4807,       261.5895434,       257.3260335,         6.089810797,          10911.65659,               0.7492281389,       600.2883247,       255705.4819,       92.19144553
          0,           0,          17,      -4.239306418,      -1.497945461,      -1.437729359,       1.230487377,      -1.009055351,       2.887641781,       346.2473471,      0.0730875052,      0.7892211243,       567.2104666,       204000.9113,       2.515000742,       603045.3241,       257.7570207,       253.0119836,         5.104833355,         0.1344530647,               0.8324566124,       600.2224778,       255687.2644,      -1405.632937
          0,           0,          18,      -4.245662789,      -1.501080934,      -1.439022944,       1.224883873,      -1.025003338,       2.876456178,       346.2156202,      0.1518079503,      0.7818134609,       567.8475075,       204925.8623,       2.523874161,       602894.5914,       255.5830673,       250.0471803,         4.304009856,         -0.865323105,               0.8620592859,       600.0724507,       255507.9326,      -2296.956684
          0,           0,          19,      -4.260134083,      -1.502105563,      -1.445589541,       1.209770881,      -1.034694117,        2.87064663,       346.1863405,      0.2037490761,      0.7785946952,        567.870325,       205021.0703,       2.525026902,       602705.6783,       254.7006372,       249.3104845,         4.143447299,        -0.8154623159,               0.8461119257,       599.8844218,        255268.668,      -2379.110819
          0,           0,          20,      -4.278648658,      -1.498279709,      -1.450714824,       1.190426514,       -1.03536418,       2.871583962,       346.1590139,      0.2079686728,      0.7822811212,       567.4751546,       204516.8465,       2.520461465,       602606.8011,       255.7150254,       250.5145123,         4.220923562,        -0.6985121631,               0.8250587567,       599.7860075,       255139.7296,       -1854.48285
          0,           0,          21,       -4.27424647,      -1.490645099,      -1.444808139,       1.196061239,      -1.029626537,       2.876467714,       346.1319156,      0.1594451435,      0.7881009149,       567.0935902,       203964.7803,       2.515173849,         602661.82,       257.2360014,       252.2282577,          4.35702211,        -0.4778529016,               0.8023139063,       599.8407689,       255182.5561,      -1282.797798
          0,           0,          22,      -4.236683306,      -1.482794724,      -1.429660458,       1.236335837,      -1.023699225,       2.880506714,        346.102321,     0.07412091205,      0.7911311106,       566.9782278,       203747.1472,       2.512892582,       602786.9623,       257.8337813,       253.1965643,         4.628968939,         0.4846139981,               0.7595495919,       599.9653253,       255310.1304,      -1048.314012
          0,           0,          23,      -4.212789848,      -1.477167534,      -1.418770149,       1.261671943,      -1.021536264,        2.88128706,        346.067208,    -0.02517657849,      0.7900159286,       567.1100512,       203887.9231,       2.514047769,       602878.8728,       257.2497471,       253.1306752,          4.86228574,          12.80571575,               0.7012373849,       600.0568056,       255416.1656,      -1184.176309
          0,           0,          24,      -4.217402985,      -1.472982229,      -1.416505477,       1.257082809,      -1.023355074,       2.879176893,       346.0229949,     -0.1184227648,      0.7862627195,       567.4008196,       204270.9245,       2.517573772,       602913.8519,       255.9233679,       252.2654462,          4.88222833,          188.3575532,               0.6450322094,        600.091621,       255464.1242,      -1581.151942
          0,           0,          25,      -4.243800258,      -1.468084586,      -1.419726514,       1.229552385,      -1.027847365,       2.875456384,        345.968708,     -0.1830878799,      0.7817393191,        567.714949,       204706.7423,       2.521678704,       602890.0718,       254.4184914,       251.0699612,         4.691770911,          17.12631027,               0.6048597671,       600.0679522,       255440.9609,      -2047.394565
          0,           0,          26,      -4.280857505,      -1.460199784,      -1.420616362,       1.190651654,      -1.032808741,       2.871889573,       345.9099777,     -0.1975853422,       0.778650865,       567.8818691,       204960.9119,         2.5241654,       602816.7463,       253.4640497,       250.1912766,         4.468195217,          15.08106203,               0.5888827801,       599.9949699,       255357.4552,      -2338.802427
          0,           0,          27,      -4.284394201,      -1.449323539,      -1.411063551,       1.187109593,      -1.035660939,       2.870216689,       345.8550563,     -0.1616268072,       0.778299758,       567.8453486,       204940.7055,       2.524106282,       602738.9675,       253.4541656,       250.0178756,         4.357048011,          58.81004091,               0.5954123623,       599.9175553,       255267.7411,      -2344.828153
          0,           0,          28,      -4.251683971,      -1.437620502,       -1.39716947,       1.221846791,      -1.035395735,       2.870903343,       345.8075242,    -0.09372908569,       0.780296263,       567.6831403,       204732.5541,       2.522227484,       602700.0238,       254.2244499,       250.4472487,         4.351158215,          61.34758132,               0.6140905092,       599.8787938,        255219.109,      -2146.403455
          0,           0,          29,      -4.233816677,      -1.427689549,      -1.387839484,       1.240987534,      -1.032977024,        2.87301076,       345.7669901,    -0.01576992662,      0.7835784982,       567.4908593,       204462.7365,       2.519689028,        602705.138,        255.402266,       251.1617577,         4.413649635,          2.591375807,               0.6319369377,       599.8838841,       255215.9239,      -1877.925569
          0,           0,          30,      -4.239318835,      -1.419599785,      -1.382960498,       1.235784283,      -1.029910285,       2.875316021,       345.7332211,     0.05357082804,      0.7868526041,       567.3464971,       204243.7294,       2.517565234,       602741.4522,        256.600408,       251.8327653,         4.521569483,       -0.07330414422,               0.6385479277,       599.9200283,        255245.882,       -1657.35404
          0,           0,          31,      -4.255363511,      -1.411939187,      -1.379057516,        1.21971153,      -1.027523226,       2.876854806,       345.7068674,     0.09945746995,      0.7887797737,       567.3086136,       204164.2299,       2.516719392,       602793.2263,       257.4098767,       252.1858032,         4.627595173,         -0.557980408,               0.6311961657,       599.9715601,       255294.9995,      -1571.259783
          0,           0,          32,       -4.26429172,      -1.404374142,      -1.373269617,       1.211156589,      -1.026735926,        2.87709805,       345.6875381,       0.115693336,      0.7891561143,       567.3846346,        204244.252,       2.517377638,       602841.2673,       257.6702879,       252.1175414,         4.673531291,        -0.7014998174,               0.6142031223,       600.0193762,       255344.1018,      -1638.058356
