"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          55,      -5.751582034,      -3.195273009,      -3.918663061,      -1.559053299,      -2.050045365,       1.945909381
          0,           0,          56,      -5.753487954,      -3.203744045,      -3.918162488,      -1.564341904,      -2.061696015,       1.932728174
          0,           0,          57,      -5.755213058,      -3.211828562,      -3.917661421,      -1.566935101,      -2.073179915,       1.919770237
          0,           0,          58,      -5.756749688,      -3.219529949,      -3.917064826,      -1.563383676,      -2.084501816,       1.907007092
          0,           0,          59,       -5.75801414,      -3.227088573,      -3.916197417,      -1.561565299,      -2.095666269,       1.894425522
          0,           0,          60,      -5.758935583,      -3.234570138,      -3.915142098,      -1.569617835,      -2.106677632,       1.882013104
          0,           0,          61,      -5.759583523,      -3.241950535,      -3.914168115,       -1.57990823,      -2.117540082,       1.869745121
          0,           0,          62,      -5.760123503,      -3.249207418,      -3.913318928,      -1.586634911,      -2.128257627,       1.857604074
          0,           0,          63,      -5.760669807,      -3.256327113,      -3.912514803,      -1.590267266,      -2.138834112,       1.845591652
          0,           0,          64,      -5.761231296,      -3.263301546,      -3.911720808,      -1.592051044,      -2.149273231,       1.833718349
          0,           0,          65,      -5.761768165,      -3.270126301,      -3.910910107,       -1.59262181,      -2.159578531,       1.821989641
          0,           0,          66,      -5.762250374,      -3.276799463,      -3.910033555,      -1.592683868,      -2.169753425,       1.810403418
          0,           0,          67,      -5.762669037,      -3.283321014,      -3.909060093,      -1.592585505,      -2.179801194,       1.798951406
          0,           0,          68,      -5.763022257,      -3.289691048,      -3.907993683,      -1.591662913,      -2.189724996,        1.78762651
          0,           0,          69,      -5.763310607,      -3.295910348,      -3.906834865,      -1.590224408,      -2.199527872,       1.776424996
          0,           0,          70,       -5.76353382,      -3.301980331,      -3.905600414,      -1.588451606,      -2.209212752,          1.765346
